選手名,出場数,得点数,初出場,最終出場,ポジション
須藤茂光,13,0,1979/8/23,1981/3/8,DF
加藤光雄,1,0,1979/8/23,1979/8/23,MF
横山正文,31,10,1979/8/23,1984/4/18,FW
植木繁晴,1,0,1979/7/13,1979/7/13,"FW, MF"
田嶋幸三,7,1,1979/6/27,1980/6/18,FW
河内勝幸,3,0,1979/6/16,1979/7/13,MF
渡辺由一,6,1,1979/6/16,1979/7/13,MF
岸奥裕二,10,2,1979/5/31,1980/4/2,DF
木村和司,54,26,1979/5/31,1986/9/28,MF
中村一義,5,1,1979/3/4,1979/7/1,FW
加藤久,61,6,1978/11/23,1987/10/26,DF
長谷川治久,15,4,1978/11/19,1981/3/8,FW
原博実,75,37,1978/11/19,1988/10/26,FW
菅又哲男,23,0,1978/7/23,1984/4/15,DF
佐藤長栄,1,0,1978/7/21,1978/7/21,GK
望月豊仁,2,0,1978/7/21,1978/7/23,DF
長沢和明,9,0,1978/7/13,1985/6/4,MF
細谷一郎,4,1,1978/7/13,1978/7/26,"FW, MF"
園部勉,7,0,1978/5/23,1981/2/24,DF
小見幸隆,6,0,1978/5/23,1980/4/2,MF
関口久雄,3,1,1978/5/23,1978/7/26,FW
金田喜稔,58,6,1977/6/15,1984/5/31,MF
西野朗,12,1,1977/3/6,1978/7/26,MF
古前田充,2,2,1976/8/10,1977/6/15,MF
今村博治,4,0,1976/8/8,1976/8/22,FW
斉藤和夫,32,0,1976/1/28,1984/4/26,DF
田口光久,59,0,1975/9/8,1984/4/21,GK
前田秀樹,65,11,1975/8/4,1984/4/26,MF
清雲栄純,42,0,1974/9/28,1980/4/2,DF
落合（山田）弘,63,9,1974/9/7,1980/4/2,"FW, MF, DF"
今井敬三,29,0,1974/9/3,1980/4/2,DF
横谷政樹,20,0,1974/7/23,1977/6/15,DF
河野和久,1,0,1974/2/20,1974/2/20,DF
石井茂巳,15,0,1974/2/12,1979/7/11,DF
碓井博行,38,15,1974/2/12,1984/4/26,FW
高林敏夫,12,2,1974/2/12,1976/8/20,FW
渡辺三男,28,4,1974/2/12,1979/7/1,FW
瀬田龍彦,25,0,1973/5/22,1980/3/22,GK
松永章,10,2,1973/5/22,1976/4/11,FW
日高憲敬,4,0,1972/9/14,1973/6/23,FW
平沢周策,11,1,1972/8/4,1974/9/28,"FW, MF"
小林ジョージ,3,0,1972/7/16,1972/7/22,"MF, DF"
大仁邦彌,44,0,1972/7/12,1976/12/4,DF
奥寺康彦,32,9,1972/7/12,1987/10/26,FW
藤口光紀,26,2,1972/7/12,1978/12/15,FW
藤島信雄,65,7,1971/9/29,1979/8/23,MF
崎谷誠一,3,0,1971/9/27,1972/8/6,FW
足利道夫,7,0,1971/9/23,1975/9/8,MF
古田篤良,32,0,1971/8/13,1978/12/15,DF
永井良和,69,9,1971/8/13,1980/3/30,FW
高田一美,16,0,1970/12/12,1975/9/8,FW
荒井公三,47,4,1970/12/10,1977/6/15,MF
二村昭雄,5,0,1970/12/10,1970/12/19,MF
近江友介,5,1,1970/8/4,1970/12/16,FW
上田忠彦,13,7,1970/8/2,1971/9/23,FW
吉村大志郎,46,7,1970/8/2,1976/8/22,"FW, MF"
川上信夫,41,0,1970/7/31,1977/3/6,DF
原正文,5,0,1970/7/31,1970/12/17,DF
小畑穣,13,0,1970/7/31,1973/6/23,MF
吉水法生,4,1,1970/7/31,1970/8/16,MF
湯口栄蔵,5,1,1969/10/18,1970/12/18,MF
国枝強,2,0,1969/10/16,1969/10/18,DF
菊川凱夫,16,0,1969/10/12,1971/8/13,DF
大西忠生,1,0,1969/10/10,1969/10/10,DF
川野淳次,2,0,1968/3/31,1969/10/16,DF
船本幸路,19,0,1967/9/27,1975/9/8,GK
木村武夫,14,4,1966/12/17,1970/12/18,FW
浜崎昌弘,2,0,1966/12/16,1966/12/19,GK
森孝慈,56,2,1966/12/16,1976/3/31,"MF, DF"
桑原楽之,12,5,1966/12/14,1970/7/31,FW
今西和男,3,0,1966/12/10,1966/12/18,DF
松本育夫,11,1,1966/12/10,1969/10/16,FW
大野毅,3,0,1965/3/25,1971/8/13,DF
泉政伸,1,0,1965/3/25,1965/3/25,"FW, MF"
桑原勝義,2,0,1965/3/22,1965/3/25,FW
富沢清司,9,2,1965/3/14,1971/10/2,DF
横山謙三,49,0,1964/10/16,1974/9/28,GK
山口芳忠,49,0,1964/10/16,1973/6/23,DF
上久雄,15,0,1964/10/16,1968/3/31,"MF, DF"
西山孝朗,1,0,1964/3/3,1964/3/3,DF
大石信幸,1,0,1964/3/3,1964/3/3,FW
釜本邦茂,76,75,1964/3/3,1977/6/15,FW
小城得達,62,11,1963/8/8,1976/3/17,"FW, MF, DF"
石井義信,1,0,1962/9/21,1962/9/21,MF
鈴木良三,24,0,1961/8/15,1968/4/4,DF
継谷昌三,12,4,1961/8/15,1965/3/27,MF
片山洋,38,0,1961/8/2,1971/10/2,DF
宮本輝紀,58,19,1961/6/11,1971/10/2,MF
橡尾健次,2,0,1961/5/28,1961/6/11,DF
桑田隆幸,5,2,1961/5/28,1962/9/21,MF
志治達雄,1,1,1961/5/28,1961/5/28,FW
杉山隆一,56,15,1961/5/28,1971/10/2,FW
保坂司,19,0,1960/11/6,1964/3/3,GK
川西武彦,8,0,1959/12/20,1962/9/21,"FW, MF"
嶋谷征四郎,1,0,1959/1/11,1959/1/11,DF
松本暁司,1,0,1958/12/28,1958/12/28,GK
鎌田光夫,44,2,1958/12/25,1969/10/18,DF
宮本征勝,44,1,1958/12/25,1971/10/2,DF
川淵三郎,26,8,1958/12/25,1965/3/22,FW
佐伯博司,4,0,1958/12/25,1961/8/15,FW
佐々木康治,14,1,1958/12/25,1961/8/10,FW
二宮寛,12,9,1958/12/25,1961/5/28,FW
渡辺正,39,12,1958/12/25,1969/10/18,FW
重松良典,1,0,1958/5/28,1958/5/28,FW
大橋謙三,1,0,1958/5/26,1958/5/26,MF
北口晃,10,1,1958/5/26,1959/12/13,FW
古川好男,19,0,1956/6/3,1962/9/21,GK
大村和市郎,5,0,1956/6/3,1958/5/28,DF
小沢通宏,36,0,1956/6/3,1964/3/3,"MF, DF"
小林忠生,3,0,1956/6/3,1956/11/27,MF
八重樫茂生,45,11,1956/6/3,1968/10/14,"FW, MF"
